prodname,prodprice,url
14 Day Teatox,$13.99,
Bootea Body Plan,$6.99,
Resistance Bands,$8.99,
The Advanced Bundle,$80.99,
Bootea Fruity Teatox Limited Edition Mojito,$13.99,
28 Day Teatox,$24.49,
The Bootea Bundle,$69.96,
The Complete Bundle,$115.99,
The Starter Bundle,$41.99,
Bootea Fruity Teatox Limited Edition Sunshine Berry,$13.99,
Bootea Shake,$33.99,
Bootea Greens,$29.99,
Bootea Shaker,$6.99,
12 Week Bikini Plan (Gym Edition),$6.99,
12 Week Bikini Plan (Home Edition),$6.99,
Bedtime Cleanse Tea (14 days worth),$7.49,
Matcha Green Tea,$5.99,
Bootea Travel Cup,$11.99,
Daytime Tea (14 days worth),$7.49,
Bootea Kitchen Plan,$2.99,
CLA,$5.99,
Coconut Oil,$5.99,
Bootea Multivits,$16.99,
