prodname,prodprice,url
Ashwagandha Capsules,£14.99,https://www.nutriseed.co.uk/collections/vitamins-and-supplements/products/ashwagandha-capsules
Krill Oil Capsules 500mg,£13.95,https://www.nutriseed.co.uk/collections/vitamins-and-supplements/products/krill-oil-capsules
Multi Vitamin and Mineral Tablets,£12.99,https://www.nutriseed.co.uk/collections/vitamins-and-supplements/products/multi-vitamin-and-mineral-tablets
Acai Berry Capsules,£8.99,https://www.nutriseed.co.uk/collections/vitamins-and-supplements/products/acai-berry-capsules
Ceremonial Matcha Tea Capsules - 500mg,£9.99,https://www.nutriseed.co.uk/collections/vitamins-and-supplements/products/ceremonial-matcha-capsules-500mg
Turmeric Capsules - 500mg,£9.99,https://www.nutriseed.co.uk/collections/vitamins-and-supplements/products/turmeric-capsules
"Spirulina Capsules - 500mg, Organic & Gluten Free",£4.99,https://www.nutriseed.co.uk/collections/vitamins-and-supplements/products/spirulina-capsules-1
Organic Chlorella Tablets - 500mg,£5.99,https://www.nutriseed.co.uk/collections/vitamins-and-supplements/products/chlorella-tablets
Cod Liver Oil Capsules 1000mg,£4.99,https://www.nutriseed.co.uk/collections/vitamins-and-supplements/products/cod-liver-oil-capsules
Organic Virgin Coconut Oil - 500ml Jar,,https://www.nutriseed.co.uk/collections/essential-fatty-acids/products/organic-virgin-coconut-oil
"Hemp Protein Powder, Organic, Vegan-Friendly & Gluten Free",£11.49,https://www.nutriseed.co.uk/collections/essential-fatty-acids/products/hemp-protein-powder
"Ground Golden Flaxseed, Organic, Vegan Friendly & Gluten Free",£5.99,https://www.nutriseed.co.uk/collections/essential-fatty-acids/products/nutriseed-ground-flaxseed-1-5k
Pea Protein Isolate,£5.99,https://www.nutriseed.co.uk/collections/essential-fatty-acids/products/pea-protein-1
Organic Shelled Hemp Seeds,£5.99,https://www.nutriseed.co.uk/collections/essential-fatty-acids/products/hemp-by-nutriseed
Cashew Nuts,£4.99,https://www.nutriseed.co.uk/collections/essential-fatty-acids/products/cashew-nuts
Almonds,£6.99,https://www.nutriseed.co.uk/collections/essential-fatty-acids/products/almonds
Brazil Nuts,£4.99,https://www.nutriseed.co.uk/collections/essential-fatty-acids/products/brazil-nuts
Chia Flax,£4.99,https://www.nutriseed.co.uk/collections/essential-fatty-acids/products/chia-flax
,,https://www.nutriseed.co.uk/pages/total-superfoods-1
Superfood Smoothie Bundle - 30 Day Supply,,https://www.nutriseed.co.uk/collections/superfood-powders/products/superfood-smoothie-bundle
Total Greens,£18.99,https://www.nutriseed.co.uk/collections/superfood-powders/products/total-greens
Total Superfoods Capsules - 500mg,,https://www.nutriseed.co.uk/collections/superfood-powders/products/total-superfoods-capsules
"Maca Powder, Organic, Vegan & Gluten Free",£2.89,https://www.nutriseed.co.uk/collections/superfood-powders/products/maca-powder-by-nutriseed
"Acai Berry Powder, Organic, Vegan Friendly & Gluten Free",£6.49,https://www.nutriseed.co.uk/collections/superfood-powders/products/acai-berry-powder
Organic Ceremonial Green Matcha Tea,£8.99,https://www.nutriseed.co.uk/collections/superfood-powders/products/ceremonial-green-matcha-tea
"Spirulina Powder, Organic, Vegan & Gluten Free",£5.99,https://www.nutriseed.co.uk/collections/superfood-powders/products/spirulina-powder
"Ashwagandha Root Powder, Organic, Vegan Friendly & Gluten Free",£6.99,https://www.nutriseed.co.uk/collections/superfood-powders/products/ashwagandha-by-nutriseed
Acai Berry Capsules,£8.99,https://www.nutriseed.co.uk/collections/antioxidants/products/acai-berry-capsules
Ashwagandha Capsules,£14.99,https://www.nutriseed.co.uk/collections/antioxidants/products/ashwagandha-capsules
"Acai Berry Powder, Organic, Vegan Friendly & Gluten Free",£6.49,https://www.nutriseed.co.uk/collections/antioxidants/products/acai-berry-powder
Brazil Nuts,£4.99,https://www.nutriseed.co.uk/collections/antioxidants/products/brazil-nuts
Berry Porridge,£9.99,https://www.nutriseed.co.uk/collections/antioxidants/products/berry-porridge
