prodname,prodprice
Girl Without Limits Striped Dress - Yellow,29.99
Good Old Daze Mini Dress - Mauve,27.99
Ring Me A Mini Dress - White/Nude,29.98
Hermoine Ribbed Dress - Red,14.99
One of the Boys Dress - Olive,19.99
One of the Boys Dress - Nude,19.99
One of the Boys Dress - Charcoal,19.99
One of the Boys Dress - Black,19.99
Hermoine Ribbed Dress - Taupe,14.99
Girl Without Limits Striped Dress - Light Blue,29.99
Macau Ruched Dress - Black,34.99
Do It On The Daily Choker Dress - Black,14.99
Do It On The Daily Choker Dress - Red,14.99
Macau Ruched Dress - Red,27.99
Keepin' It Classy Mini Dress - White,39.99
Sugar Daddy Blazer Dress - Yellow,44.99
Good Jeans Dress - Medium Stone,34.99
Zarah Bandage Dress - Gold,49.99
Dimmed With Smoke Mini Dress - Navy/Gold,54.99
Paparazzi Ruched Dress - Burgundy,32.99
Paparazzi Ruched Dress - Olive,32.99
Aniya Sweater Dress - Black,15.97
Soft Quiet Music Sweater Dress - Rose,14.98
Do Or Die Dress - Ivory,29.99
Fallon Off Shoulder Dress - Mauve,14.99
One of the Boys Dress - Black,19.99
One of the Boys Dress - Charcoal,19.99
One of the Boys Dress - Olive,19.99
Do Or Die Dress - Plum,29.99
Good Jeans Dress - Light Stone,34.99
Hermoine Ribbed Dress - Mustard,14.99
Hermoine Ribbed Dress - Red,14.99
Rhianna Tube Dress - Mustard,22.99
One of the Boys Dress - Nude,19.99
Rhianna Tube Dress - Olive,22.99
Mulberry Midi Dress - Eggplant,24.99
Exploration Midi Dress - Khaki,39.99
Stephie Floral Dress - Yellow,24.99
Lure Maxi Dress - Ivory,49.99
Lure Maxi Dress - Wine,49.99
Hermoine Ribbed Dress - Mustard,14.99
Hermoine Ribbed Dress - Taupe,14.99
The One That Got Away Dress - Black,29.99
Put Your Love On Me Dress - Black,29.99
Brady Tube Dress - Black,29.99
Keep Me Mini Dress - Coral Red,29.99
This Love Is Fine Mini Dress - Black,34.99
Hermoine Ribbed Dress - Red,14.99
Hermoine Ribbed Dress - Mustard,14.99
Century Tank Dress - Red,14.99
City Nights Maxi Dress - Navy,64.99
Century Tank Dress - Black,14.99
To The Finish Zipper Dress - Black/White,27.99
Hermoine Ribbed Dress - Red,14.99
Sugar Daddy Blazer Dress - White,44.99
Vivien Zipper Dress - Navy,20.97
Stephie Floral Dress - Navy,24.99
Hermoine Ribbed Dress - Taupe,14.99
Macau Ruched Dress - Black,34.99
Macau Ruched Dress - Red,27.99
Brisa Lace Dress - Lavender,34.99
Put Your Love On Me Dress - Black,29.99
The One That Got Away Dress - Mauve,29.99
Lizzy Floral Dress - Black Floral,24.99
Portrayal Bandage Dress - Burgundy,49.99
Ready To Wear Knit Dress - Mocha,49.99
Inevitable Maxi Dress - Red,34.99
In Love Dress - Red,49.99
Lizzy Floral Dress - White Floral,24.99
First Kiss Maxi Dress - Black,34.99
Shot At Love Maxi Dress - Black,49.99
Shot At Love Maxi Dress - Ivory,49.99
Doing Good Maxi Dress - Navy,37.99
City Nights Maxi Dress - Blush,64.99
Redondo Beach Maxi Dress - Black,29.99
Love Sex Magic Velvet Dress - Wine,32.99
Lure Maxi Dress - Ivory,49.99
Sacred Siren Dress - Red,31.97
Lure Maxi Dress - Wine,49.99
Holy Slit Dress - Navy/Taupe,34.99
Ancient Rome Dress - White,39.99
Trophy Wife Embroidered Dress - Wine,59.99
Rhianna Tube Dress - Olive,22.99
Rhianna Tube Dress - Taupe,22.99
Adria Midi Dress - Off White,29.99
Keep Up With My Vibe Midi Dress - White,39.99
In Between The Stripes Midi Dress - Off White,29.99
Rhianna Tube Dress - Taupe,22.99
Rhianna Tube Dress - Mustard,22.99
Rhianna Tube Dress - Mustard,22.99
Brisa Lace Dress - Lavender,34.99
Rhianna Tube Dress - Olive,22.99
Exploration Midi Dress - Olive,39.99
Exploration Midi Dress - Khaki,39.99
Mulberry Midi Dress - Eggplant,24.99
Brisa Lace Dress - Off White,34.99
You're It Dress - Navy,24.98
Hong Kong Ruched Dress - Mauve,19.99
Hong Kong Ruched Dress - Black,19.99
Selma Midi Dress - Wine,27.98
Little Thrills Suede Dress - Eggplant,19.98
Rita Hayworth Dress - Wine,24.98
Rita Hayworth Dress - White,27.99
Cristal Knit Dress - Navy,24.98
Year Of The Rabbit Ruched Dress - Black,14.97
Without Warning Lace Dress - Black,29.98
Yvonne Bandage Dress - Black,31.97
Picture This One Shoulder Dress - Red,27.98
Karis Ruched Dress - Burgundy,19.98
Cross My Body Dress - Black,39.99
Cross My Body Dress - Hunter Green,39.99
Carissa Draped Dress - Navy,31.99
Cross My Body Dress - Mustard,39.99
Hang Behind Off Shoulder Dress - Black,25.97
Tania Ribbed Dress - Red Brown,15.97
Tania Ribbed Dress - Mustard,15.97
Fading Slit Sequin Dress - Pink,25.97
Sugar High Knot Dress - Wine,15.97
Skylynn Knit Dress - Hunter Green,15.97
Puppy Playdate Ribbed Dress - Burgundy,19.98
Rue Knit Dress - Burgundy,29.98
Full Grown Knot Dress - Burgundy,24.99
Lure Maxi Dress - Navy,49.99
Lure Maxi Dress - Wine,49.99
Carissa Draped Dress - Red Brown,25.97
Telling Your Secret Midi Dress - White,39.99
Change This Love Bandage Dress - Mocha,54.99
Change This Love Bandage Dress - Wine,44.98
Change This Love Bandage Dress - White,54.99
Year Of The Rabbit Ruched Dress - Rose,18.98
Jojo Dress - White,29.99
Lost In Your Light Midi Dress - Black,32.99
Kristen Latex Dress - Mauve,29.99
Sophisticated Fun Sequin Dress - Black,29.98
Pandora Bandage Dress - Black,59.99
Karis Ruched Dress - Ivory,18.97
So Yesterday Lace Dress - Eggplant/Nude,19.98
Ziba Velvet Dress - Hunter Green,15.97
Jolene Crochet Dress - Navy,64.99
Patrice Tube Dress - Hunter Green,24.98
Diana Studded Dress - Merlot,28.97
Diana Studded Dress - White,35.98
Poisonous Snake Dress - Orange,19.98
Rhianna Tube Dress - Mustard,22.99
Rhianna Tube Dress - Olive,22.99
Back Leather Dress - Black,14.98
Hermoine Ribbed Dress - Mustard,14.99
Hermoine Ribbed Dress - Red,14.99
Complete Kisses Mini Skirt - Black,19.99
Sweet And Sour Blazer - Blue,39.99
Girl Without Limits Striped Dress - Yellow,29.99
Sweet And Sour Blazer - White,39.99
Laura Tee - Red,14.99
Olivia High Rise Woven Pants - Khaki,39.99
Olivia High Rise Woven Pants - Olive,39.99
Rhianna Tube Dress - Mustard,22.99
Out For The Night Bandage Set - Black,39.99
Rhianna Tube Dress - Taupe,22.99
Playing For Keeps Shorts - Khaki,17.99
Christiana Waist Tie Shorts - Khaki,27.99
Hermoine Ribbed Dress - Mustard,14.99
Laura Tee - White,14.99
Don't Play Sleeveless Romper - Red,34.99
Hermoine Ribbed Dress - Taupe,14.99
Rose Striped Tube Top - Yellow Combo,7.99
Rose Striped Tube Top - Burgundy Combo,7.99
Rhianna Tube Dress - Olive,22.99
Don't Play Sleeveless Romper - Black,34.99
All Smocked Up Crop Top - Sage,17.99
Rhianna Tube Dress - Taupe,22.99
Brisa Lace Dress - Lavender,34.99
Girl Without Limits Striped Dress - Light Blue,29.99
Hermoine Ribbed Dress - Taupe,14.99
It's Gettin Hot In Here Short Set - Pink,29.99
Rose Striped Tube Top - Burgundy Combo,7.99
Hermoine Ribbed Dress - Red,14.99
Rose Striped Tube Top - Black/White,7.99
Everyday Basic Shorts - Black,6.99
Everyday Basic Shorts - Lilac,6.99
Everyday Basic Shorts - Olive,6.99
Expose Sequin Dress - Burgundy,18.97
Love Sex Magic Velvet Dress - Wine,32.99
Got Me Twisted Satin Dress - Olive,24.98
Everyday Basic Shorts - Burgundy,6.99
Got Me Twisted Satin Dress - Red,34.99
Expose Sequin Dress - Multi,19.98
Dare To Mock Me Dress - Red,34.99
Tempted Draped Dress - White,24.98
You Need Me Sequin Dress - Nude/Royal,49.99
Talk With Your Hands Dress - Black,32.99
Main Attraction Fringe Dress - Black,79.99
Main Attraction Fringe Dress - White,79.99
Main Attraction Fringe Dress - Blush,49.98
Sacred Siren Dress - Red,31.97
Quinn Lace Up Maxi Dress - Wine,16.98
You Need Me Sequin Dress - Nude/Burgundy,49.99
Trophy Wife Embroidered Dress - Wine,59.99
Shot At Love Maxi Dress - Ivory,49.99
Shot At Love Maxi Dress - Red,49.99
Talk With Your Hands Dress - Burgundy,32.99
Late Night Special Sequin Dress - White Multi,18.97
Shot At Love Maxi Dress - Black,49.99
Shot At Love Maxi Dress - Ivory,49.99
On The Runway Maxi Dress - Purple,44.99
On The Runway Maxi Dress - Royal Blue,44.99
Shot At Love Maxi Dress - Red,49.99
Shot At Love Maxi Dress - Black,49.99
Classic High Waist Skinny Jeans - Dark,34.99
Can't Leave Me Alone Dress - Black,49.99
Layla Chiffon Cape Dress - Black,34.99
Finer Things Lace Dress - Blush,59.99
Classic High Waist Skinny Jeans - Light Blue,34.99
Classic High Waist Skinny Jeans - Medium Blue,34.99
Classic High Waist Skinny Jeans - Dark,34.99
